34	4	43	35	10	25	14
45	14	8	40	20	23	9
18	31	6	8	4	24	39
44	41	37	46	19	3	16
22	49	28	18	33	43	25
10	29	5	38	28	46	36
8	28	26	12	16	43	40
48	13	2	30	3	33	21
15	28	48	45	43	3	16
37	41	10	31	18	43	30
49	33	12	38	14	27	15
12	1	8	45	26	9	29
41	4	5	35	27	3	19
10	49	45	38	40	33	28
45	37	18	22	5	30	11
12	19	20	28	30	6	24
15	12	48	6	13	4	28
44	4	38	24	40	14	2
32	41	34	3	33	13	29
27	48	14	11	2	47	39
29	23	40	24	12	3	37
38	48	9	15	4	37	12
28	4	6	45	12	17	1
38	30	36	1	37	40	17
23	27	49	29	30	33	32
23	22	41	17	16	13	38
33	18	7	46	47	45	8
16	49	6	2	29	4	17
49	20	11	26	12	18	38
22	5	38	27	1	9	16
32	22	12	8	1	21	44
37	25	34	36	27	21	2
2	8	12	16	24	41	23
23	33	7	3	21	17	12
43	28	13	15	21	19	17
1	10	47	42	34	8	18
43	31	17	6	5	21	3
46	44	47	41	21	28	13
40	22	3	42	8	16	9
39	42	48	32	23	4	29
22	8	46	30	36	28	11
42	47	34	15	35	41	28
39	34	28	5	37	17	22
37	9	7	42	45	24	5
34	30	7	31	16	45	41
30	5	22	23	11	47	19
21	34	19	6	4	25	29
18	25	47	31	46	36	20
42	23	26	27	1	48	47
39	43	33	16	20	9	30
39	2	45	44	38	19	40
39	16	13	1	35	31	47
2	48	15	26	43	19	3
38	29	18	44	40	23	39
12	15	43	45	21	1	3
7	8	43	15	9	16	42
7	41	33	44	14	22	27
24	34	25	48	43	3	30
43	33	28	44	19	47	4
21	25	42	43	18	47	35
30	43	33	38	31	29	37
41	3	17	34	9	35	7
21	6	11	25	18	12	14
7	35	29	5	26	19	47
22	30	20	8	14	13	23
1	13	19	40	18	21	37
40	7	12	1	15	25	2
13	4	32	15	17	18	30
22	49	31	5	4	24	40
49	20	8	7	34	27	18
41	31	44	13	46	9	32
49	21	30	31	23	15	19
49	31	18	10	41	20	34
26	1	46	39	44	4	35
18	1	11	23	39	16	30
9	20	37	40	16	19	24
9	18	21	14	41	10	5
9	15	28	19	33	21	3
13	34	48	15	7	23	40
10	11	47	23	18	6	27
